tr @ epoch 1/300 | Loss 0.754303 | 8.53 (s)
tr @ epoch 2/300 | Loss 0.731647 | 8.22 (s)
tr @ epoch 3/300 | Loss 0.684907 | 8.23 (s)
tr @ epoch 4/300 | Loss 0.564842 | 8.23 (s)
tr @ epoch 5/300 | Loss 0.264075 | 8.23 (s)
tr @ epoch 6/300 | Loss 0.053655 | 8.23 (s)
tr @ epoch 7/300 | Loss 0.029706 | 8.24 (s)
tr @ epoch 8/300 | Loss 0.021600 | 8.25 (s)
tr @ epoch 9/300 | Loss 0.017653 | 8.24 (s)
tr @ epoch 10/300 | Loss 0.015012 | 8.24 (s)
tr @ epoch 11/300 | Loss 0.013095 | 8.24 (s)
tr @ epoch 12/300 | Loss 0.011629 | 8.25 (s)
tr @ epoch 13/300 | Loss 0.010527 | 8.25 (s)
tr @ epoch 14/300 | Loss 0.009680 | 8.25 (s)
tr @ epoch 15/300 | Loss 0.009047 | 8.25 (s)
te @ epoch 15/300 | Loss 0.008676 | 0.76 (s)
tr @ epoch 16/300 | Loss 0.008511 | 8.25 (s)
tr @ epoch 17/300 | Loss 0.008065 | 8.25 (s)
tr @ epoch 18/300 | Loss 0.007666 | 8.25 (s)
tr @ epoch 19/300 | Loss 0.007285 | 8.26 (s)
tr @ epoch 20/300 | Loss 0.006933 | 8.26 (s)
tr @ epoch 21/300 | Loss 0.006579 | 8.25 (s)
tr @ epoch 22/300 | Loss 0.006251 | 8.26 (s)
tr @ epoch 23/300 | Loss 0.005929 | 8.26 (s)
tr @ epoch 24/300 | Loss 0.005619 | 8.26 (s)
tr @ epoch 25/300 | Loss 0.005322 | 8.26 (s)
tr @ epoch 26/300 | Loss 0.005083 | 8.26 (s)
tr @ epoch 27/300 | Loss 0.004945 | 8.26 (s)
tr @ epoch 28/300 | Loss 0.004801 | 8.27 (s)
tr @ epoch 29/300 | Loss 0.004656 | 8.26 (s)
tr @ epoch 30/300 | Loss 0.004520 | 8.26 (s)
te @ epoch 30/300 | Loss 0.004442 | 0.76 (s)
tr @ epoch 31/300 | Loss 0.004376 | 8.26 (s)
tr @ epoch 32/300 | Loss 0.004246 | 8.26 (s)
tr @ epoch 33/300 | Loss 0.004103 | 8.27 (s)
tr @ epoch 34/300 | Loss 0.003985 | 8.26 (s)
tr @ epoch 35/300 | Loss 0.003848 | 8.26 (s)
tr @ epoch 36/300 | Loss 0.003725 | 8.26 (s)
tr @ epoch 37/300 | Loss 0.003599 | 8.26 (s)
tr @ epoch 38/300 | Loss 0.003483 | 8.26 (s)
tr @ epoch 39/300 | Loss 0.003368 | 8.26 (s)
tr @ epoch 40/300 | Loss 0.003250 | 8.26 (s)
tr @ epoch 41/300 | Loss 0.003133 | 8.26 (s)
tr @ epoch 42/300 | Loss 0.003033 | 8.26 (s)
tr @ epoch 43/300 | Loss 0.002945 | 8.27 (s)
tr @ epoch 44/300 | Loss 0.002839 | 8.27 (s)
tr @ epoch 45/300 | Loss 0.002738 | 8.26 (s)
te @ epoch 45/300 | Loss 0.002712 | 0.75 (s)
tr @ epoch 46/300 | Loss 0.002649 | 8.26 (s)
tr @ epoch 47/300 | Loss 0.002559 | 8.26 (s)
tr @ epoch 48/300 | Loss 0.002473 | 8.26 (s)
tr @ epoch 49/300 | Loss 0.002384 | 8.26 (s)
tr @ epoch 50/300 | Loss 0.002310 | 8.26 (s)
tr @ epoch 51/300 | Loss 0.002251 | 8.26 (s)
tr @ epoch 52/300 | Loss 0.002217 | 8.28 (s)
tr @ epoch 53/300 | Loss 0.002183 | 8.26 (s)
tr @ epoch 54/300 | Loss 0.002150 | 8.26 (s)
tr @ epoch 55/300 | Loss 0.002102 | 8.26 (s)
tr @ epoch 56/300 | Loss 0.002077 | 8.25 (s)
tr @ epoch 57/300 | Loss 0.002036 | 8.24 (s)
tr @ epoch 58/300 | Loss 0.002010 | 8.25 (s)
tr @ epoch 59/300 | Loss 0.001967 | 8.25 (s)
tr @ epoch 60/300 | Loss 0.001942 | 8.25 (s)
te @ epoch 60/300 | Loss 0.001955 | 0.75 (s)
tr @ epoch 61/300 | Loss 0.001911 | 8.26 (s)
/netpool/homes/hathreya/miniforge3/envs/newenv/lib/python3.13/site-packages/wandb/integration/torch/wandb_torch.py:204: UserWarning: Casting complex values to real discards the imaginary part (Triggered internally at /pytorch/aten/src/ATen/native/Copy.cpp:307.)
  flat = flat.type(torch.FloatTensor)
tr @ epoch 62/300 | Loss 0.001876 | 8.59 (s)
tr @ epoch 63/300 | Loss 0.001852 | 8.33 (s)
tr @ epoch 64/300 | Loss 0.001818 | 8.25 (s)
tr @ epoch 65/300 | Loss 0.001791 | 8.26 (s)
tr @ epoch 66/300 | Loss 0.001764 | 8.26 (s)
tr @ epoch 67/300 | Loss 0.001736 | 8.26 (s)
tr @ epoch 68/300 | Loss 0.001706 | 8.26 (s)
tr @ epoch 69/300 | Loss 0.001681 | 8.26 (s)
